INST_TYPE,CERT,NAME,CITY,STALP,ZIP,ADDRESS,n_signals,score,signals,FT_STATES,FT_ACTIVITIES,FT_BRANCHES,FT_DBA,FT_KNOWN,FT_FILED,ft_state_verified,FT_STATE_LICENSES
Fintech,90018215,Stripe Payments Company,South San Francisco,CA,94080,354 Oyster Point Blvd.,6,186,ft_national; ft_prepaid; ft_fullstack; ft_fx_crypto; ft_recent_filing; ft_state_verified,51,Money transmitter; Seller of prepaid access; Provider of prepaid access; Dealer in foreign exchange,0,,True,2026-04-06,True,FL; MA; MS; NC
Fintech,90021078,Wise Us Inc.,New York,NY,10010,"30 W 26Th St, 6Th Floor",5,178,ft_national; ft_prepaid; ft_fullstack; ft_fx_crypto; ft_state_verified,50,Money transmitter; Provider of prepaid access; Dealer in foreign exchange,0,,True,2024-12-17,True,FL; MA; NC
Fintech,90010113,Kraken Securities Inc.,New York,NY,10016,244 Madison Avenue Suite 1666,5,174,ft_national; ft_prepaid; ft_fullstack; ft_fx_crypto; ft_recent_filing,51,Issuer of traveler's checks; Seller of traveler's checks; Issuer of money orders; Seller of money orders; Check casher; Money transmitter; Seller of prepaid access; Dealer in foreign exchange,0,Kraken Securities Inc.,True,2025-11-26,False,
Fintech,90014004,Netspend Corporation,Austin,TX,78759,"10900 Stonelake Blvd, Suite 200-A",5,172,ft_national; ft_prepaid; ft_fullstack; ft_recent_filing; ft_state_verified,51,Issuer of money orders; Money transmitter; Provider of prepaid access,0,,True,2026-05-06,True,FL; MA; NC
Fintech,90015168,"Paypal Digital, Inc.",New York,NY,10014,117 Barrow Street,5,172,ft_national; ft_prepaid; ft_fullstack; ft_recent_filing; ft_state_verified,51,Money transmitter; Provider of prepaid access,0,,True,2025-12-10,True,MA
Fintech,90016082,Ramp Payments Corporation,New York,NY,10010,"28 West 23Rd Street, Floor 2",5,172,ft_national; ft_prepaid; ft_fullstack; ft_recent_filing; ft_state_verified,51,Money transmitter; Provider of prepaid access,0,,True,2025-11-03,True,FL; MS
Fintech,90016297,"Remitly, Inc.",Seattle,WA,98101,"401 Union Street, Suite 1000",5,172,ft_national; ft_prepaid; ft_fullstack; ft_recent_filing; ft_state_verified,51,Money transmitter; Provider of prepaid access,0,,True,2025-09-15,True,FL; MA; NC
Fintech,90016541,"Robinhood Money, Llc",Melo Park,CA,94025,85 Willow Rd,5,172,ft_national; ft_prepaid; ft_fullstack; ft_recent_filing; ft_state_verified,51,Money transmitter; Provider of prepaid access,0,,True,2025-08-28,True,FL; MS; NC
Fintech,90021126,Worldremit Corp.,Boston,MA,'02134,"100 Hano St., Ste. 9",5,172,ft_national; ft_prepaid; ft_fullstack; ft_recent_filing; ft_state_verified,51,Money transmitter; Provider of prepaid access,0,"Sendwave, Zepz, Worldremit",True,2026-01-06,True,FL; MA
Fintech,90020085,Uphold Hq Inc.,San Francisco,CA,94105,"90 New Montgomery Street, Suite 412",5,172,ft_national; ft_prepaid; ft_fullstack; ft_recent_filing; ft_state_verified,50,Money transmitter; Provider of prepaid access,0,Uphold,True,2026-05-19,True,AK; FL; NC
Fintech,90010058,Klarna Inc.,Columbus,OH,43215,800 N High St Suite #04121,4,164,ft_national; ft_prepaid; ft_fullstack; ft_state_verified,51,Money transmitter; Provider of prepaid access,0,,True,2025-01-30,True,FL; NC
Fintech,90013438,Moonpay Usa Llc,New York,NY,10013,"520 Broadway, 8Th Floor, Suite 800",4,164,ft_national; ft_prepaid; ft_fullstack; ft_state_verified,51,Money transmitter; Seller of prepaid access; Provider of prepaid access,0,,True,2025-06-02,True,FL; NC
